Country,Sex,variable,V1
POL,Female,preds,0.0892091381920466
POL,Female,preds_boost,0.0589179066695597
POL,Female,pred_LC_svd,0.0491093521873036
POL,Female,LCwithGAM,0.178125274700791
POL,Female,RotatedLC,0.0533917251685758
POL,Female,stacked,0.0648244727735483
POL,Male,preds,0.146088622588798
POL,Male,preds_boost,0.0917182756571392
POL,Male,pred_LC_svd,0.137300024042514
POL,Male,LCwithGAM,0.136925987714935
POL,Male,RotatedLC,0.220586883033924
POL,Male,stacked,0.142571667044728
PRT,Female,preds,0.334968456392559
PRT,Female,preds_boost,0.283883135535452
PRT,Female,pred_LC_svd,0.0974950509903994
PRT,Female,LCwithGAM,0.129350368312728
PRT,Female,RotatedLC,0.128591311070628
PRT,Female,stacked,0.166488162754343
PRT,Male,preds,0.422771166989783
PRT,Male,preds_boost,0.364592552555631
PRT,Male,pred_LC_svd,0.236656084653926
PRT,Male,LCwithGAM,0.197700680334991
PRT,Male,RotatedLC,0.311566538831288
PRT,Male,stacked,0.279244174248687
RUS,Female,preds,0.0574974173833776
RUS,Female,preds_boost,0.0411545918771392
RUS,Female,pred_LC_svd,0.0668309365427517
RUS,Female,LCwithGAM,0.0871261025839515
RUS,Female,RotatedLC,0.0904663915169393
RUS,Female,stacked,0.0614494055223975
RUS,Male,preds,0.0677863461705394
RUS,Male,preds_boost,0.0529310184695798
RUS,Male,pred_LC_svd,0.0987844991895455
RUS,Male,LCwithGAM,0.0874329072212455
RUS,Male,RotatedLC,0.157572527519586
RUS,Male,stacked,0.0917105337410503
SVK,Female,preds,0.101814251536792
SVK,Female,preds_boost,0.0815330771988672
SVK,Female,pred_LC_svd,0.1011012817215
SVK,Female,LCwithGAM,0.106368986836516
SVK,Female,RotatedLC,0.097135059942117
SVK,Female,stacked,0.0867444117919249
SVK,Male,preds,0.147418177011153
SVK,Male,preds_boost,0.103219627356323
SVK,Male,pred_LC_svd,0.145738581269527
SVK,Male,LCwithGAM,0.0860666096854138
SVK,Male,RotatedLC,0.193300424580045
SVK,Male,stacked,0.111030212437511
SWE,Female,preds,0.0745589942852448
SWE,Female,preds_boost,0.0719459228646089
SWE,Female,pred_LC_svd,0.0849571738649606
SWE,Female,LCwithGAM,0.0992817773393048
SWE,Female,RotatedLC,0.0698452545511496
SWE,Female,stacked,0.0686139864440221
SWE,Male,preds,0.132524876785148
SWE,Male,preds_boost,0.098126374543113
SWE,Male,pred_LC_svd,0.105219530688863
SWE,Male,LCwithGAM,0.104634966015092
SWE,Male,RotatedLC,0.0743644950815747
SWE,Male,stacked,0.0796745510220798
TWN,Female,preds,0.111532302241093
TWN,Female,preds_boost,0.0897921732055913
TWN,Female,pred_LC_svd,0.0666373544129089
TWN,Female,LCwithGAM,0.0895701082107329
TWN,Female,RotatedLC,0.0552436238658924
TWN,Female,stacked,0.0727184809611802
TWN,Male,preds,0.144350124168831
TWN,Male,preds_boost,0.117925566767312
TWN,Male,pred_LC_svd,0.110216467653583
TWN,Male,LCwithGAM,0.0888714862772874
TWN,Male,RotatedLC,0.0869644147717298
TWN,Male,stacked,0.087698760688259
UKR,Female,preds,0.0534548492895929
UKR,Female,preds_boost,0.0439467408151385
UKR,Female,pred_LC_svd,0.0656912325019046
UKR,Female,LCwithGAM,0.0301313435770757
UKR,Female,RotatedLC,0.0962714585595886
UKR,Female,stacked,0.0443768399941086
UKR,Male,preds,0.0570622580908928
UKR,Male,preds_boost,0.0453524150121472
UKR,Male,pred_LC_svd,0.0727970945132497
UKR,Male,LCwithGAM,0.0475491857805844
UKR,Male,RotatedLC,0.0938504635332431
UKR,Male,stacked,0.0567170951346327
USA,Female,preds,0.0169971845275258
USA,Female,preds_boost,0.0157434618140193
USA,Female,pred_LC_svd,0.0222637611138376
USA,Female,LCwithGAM,0.0685354075071078
USA,Female,RotatedLC,0.0163383445197446
USA,Female,stacked,0.0204963345435792
USA,Male,preds,0.0230623988809764
USA,Male,preds_boost,0.0167880868388922
USA,Male,pred_LC_svd,0.02127849171483
USA,Male,LCwithGAM,0.024087067832953
USA,Male,RotatedLC,0.0235176587032659
USA,Male,stacked,0.0159654866215926
