basis_form,k_base,mse_male_validation,mse_female_validation,mse_male_test,mse_female_test,Country
cs,3,0.0743392177457614,0.0614091468097294,0.585947074488711,0.413408271602134,HUN
cs,4,0.101321136168498,0.0603680795072306,1.0724111175982,0.434124492858952,HUN
cs,5,0.106735423822286,0.0626273879575175,1.17223053746784,0.446528880911841,HUN
cs,6,0.115770239282561,0.0638798649532798,1.13441366768496,0.457178435960019,HUN
cs,7,0.115770239282562,0.0638798649532801,1.13441366768498,0.457178435960022,HUN
tp,2,0.0591773514776985,0.0556615038927502,0.490110900090916,0.353198623413764,HUN
tp,3,0.0944193901895868,0.0649934920151241,0.794797006353216,0.445626384834136,HUN
tp,4,0.0509808039992543,0.0489795598577764,0.632656383815777,0.319697452508257,HUN
tp,5,0.108638169041017,0.0629109812536633,1.16444959367572,0.445356319108114,HUN
tp,6,0.0455073816192762,0.0460783276945154,0.494152321989336,0.305577101451544,HUN
tp,7,0.0455073816192745,0.0460783276945142,0.494152321989331,0.305577101451518,HUN
ts,2,0.0591413840812137,0.0556664054231509,0.489629570391167,0.353287444208446,HUN
ts,3,0.0941611029963044,0.0648040501278209,0.792319902776101,0.44402861510066,HUN
ts,4,0.0504528929118887,0.0489586505895701,0.625244500855863,0.320347483435446,HUN
ts,5,0.10851132406434,0.0625416825296853,1.16294082540091,0.441642648417966,HUN
ts,6,0.0446308241228944,0.0463899201536662,0.484579801092875,0.311015669909406,HUN
ts,7,0.044630824122892,0.0463899201536645,0.484579801092868,0.311015669909375,HUN
cs,2,0.21335626576187,0.272655147929489,0.332207524484138,0.674379829423891,ISL
cs,3,0.264965630222874,0.295422305283687,0.788787100046126,1.38993897587652,ISL
cs,4,0.306139627443955,0.720125703294031,1.16816040394874,5.42278808799723,ISL
cs,5,1.6243208636695,3.34653810423834,15.7694096060399,33.3695087320746,ISL
cs,6,9.12296055710049,7.96801760280582,102.985134962324,85.6108872360621,ISL
cs,7,16.352788747932,10.6840829853509,188.437857278675,117.121383371659,ISL
tp,2,0.211622081269949,0.262822969337156,0.325810393781371,0.612469459902289,ISL
tp,3,0.271386323547718,0.286455883829493,0.829251355622201,1.33109906833904,ISL
tp,4,0.228871887513618,0.284367947624145,0.474117517226986,1.29035546324995,ISL
tp,5,2.63675173722346,4.6472633321093,27.8431364902439,48.0938419287594,ISL
